	FusionPair	Label	Version	5pCommonName	Chr5p	Coord5p	5pStrand	3pCommonName	Chr3p	Coord3p	3pStrand
0	BCAS4_BCAS3	1	grch38	BCAS4	20	50795173	+	BCAS3	17	61368327	+
1	BCAS4_BCAS3	1	grch38	BCAS4	20	50795173	+	BCAS3	17	61353588	+
2	ARFGEF2_SULF2	1	grch38	ARFGEF2	20	48922010	+	SULF2	20	47736942	-
3	RPS6KB1_VMP1	1	grch38	RPS6KB1	17	59914703	+	VMP1	17	59839768	+
4	RSBN1_AP4B1-AS1	1	grch38	RSBN1	1	113811710	-	AP4B1-AS1	1	113899872	+
5	AC099850.1_VMP1	1	grch38	AC099850.1	17	59107591	+	VMP1	17	59838295	+
6	TXLNG_SYAP1	1	grch38	TXLNG	X	16786589	+	SYAP1	X	16735227	+
7	PAPOLA_AK7	1	grch38	PAPOLA	14	96502600	+	AK7	14	96437835	+
8	SMARCA4_CARM1	1	grch38	SMARCA4	19	10986593	+	CARM1	19	10904951	+
9	EEF1A2_EEF1A1P5	1	grch38	EEF1A2	20	63497620	-	EEF1A1P5	9	133019486	+
10	AC053481.3_DIAPH3	1	grch38	AC053481.3	17	62243069	-	DIAPH3	13	59666846	-
11	ATP1A1_ZFP64	1	grch38	ATP1A1	1	116396734	+	ZFP64	20	52052132	-
12	BPTF_PITPNC1	1	grch38	BPTF	17	67913187	+	PITPNC1	17	67552257	+
13	LRP1B_PLXDC1	1	grch38	LRP1B	2	141480396	-	PLXDC1	17	39109391	-
14	MYO9B_FCHO1	1	grch38	MYO9B	19	17102557	+	FCHO1	19	17770425	+
15	SULF2_PRICKLE2	1	grch38	SULF2	20	47785343	-	PRICKLE2	3	64099925	-
16	AC140504.1_ABCC1	1	grch38	AC140504.1	16	15434759	+	ABCC1	16	16076326	+
17	ADAMTS19_SLC27A6	1	grch38	ADAMTS19	5	129460482	+	SLC27A6	5	129028345	+
18	AL133342.1_PREX1	1	grch38	AL133342.1	20	48849435	-	PREX1	20	48747880	-
19	AL669831.3_NME1-NME2	1	grch38	AL669831.3	1	633044	-	NME1-NME2	17	51169937	+
20	AL669831.3_NME2	1	grch38	AL669831.3	1	633044	-	NME2	17	51169937	+
21	C16orf45_ABCC1	1	grch38	C16orf45	16	15434759	+	ABCC1	16	16076326	+
