	FusionPair	Label	Version	5pCommonName	Chr5p	Coord5p	5pStrand	3pCommonName	Chr3p	Coord3p	3pStrand
0	TMPRSS2_ERG	1	grch38	TMPRSS2	21	41508081	-	ERG	21	38584945	-
1	MALAT1_PTMA	1	grch38	MALAT1	11	65499612	+	PTMA	2	231711902	+
2	TMPRSS2_ERG	1	grch38	TMPRSS2	21	41507950	-	ERG	21	38584945	-
3	MALAT1_RPS24	1	grch38	MALAT1	11	65499681	+	RPS24	10	78035531	+
4	PTEN_PACS1	1	grch38	PTEN	10	87894109	+	PACS1	11	66193486	+
5	ZFP91_AL162596.1	1	grch38	ZFP91	11	58584884	+	AL162596.1	1	152860677	+
6	ZFP91-CNTF_AL162596.1	1	grch38	ZFP91-CNTF	11	58584884	+	AL162596.1	1	152860677	+
7	TPT1P12_BX119917.1	1	grch38	TPT1P12	12	9155969	-	BX119917.1	X	72160254	+
8	TPT1P12_NHSL2	1	grch38	TPT1P12	12	9155969	-	NHSL2	X	72160254	+
9	PEMT_SLC35B1	1	grch38	PEMT	17	17576920	-	SLC35B1	17	49705896	-
10	MALAT1_RPL14	1	grch38	MALAT1	11	65499620	+	RPL14	3	40461444	+
11	MALAT1_UQCRB	1	grch38	MALAT1	11	65499602	+	UQCRB	8	96233186	-
12	MALAT1_PTMA	1	grch38	MALAT1	11	65499594	+	PTMA	2	231711896	+
13	MALAT1_PTMA	1	grch38	MALAT1	11	65499839	+	PTMA	2	231711383	+
14	MALAT1_RPL24P8	1	grch38	MALAT1	11	65499765	+	RPL24P8	9	70217487	+
15	TPT1P12_BX119917.1	1	grch38	TPT1P12	12	9155980	-	BX119917.1	X	72160243	+
16	TPT1P12_NHSL2	1	grch38	TPT1P12	12	9155980	-	NHSL2	X	72160243	+
17	MTCO1P12_MTATP8P2	1	grch38	MTCO1P12	1	632378	+	MTATP8P2	2	87824941	+
18	HSP90B1_MTCYBP18	1	grch38	HSP90B1	12	103939625	+	MTCYBP18	5	134924056	-
19	MTCO1P12_MTATP8P2	1	grch38	MTCO1P12	1	632386	+	MTATP8P2	2	87824949	+
20	MALAT1_HYPK	1	grch38	MALAT1	11	65499599	+	HYPK	15	43800613	+
21	TTLL9_AC068888.1	1	grch38	TTLL9	20	31943055	+	AC068888.1	12	53053574	-
22	EEF1D_SDC4	1	grch38	EEF1D	8	143597348	-	SDC4	20	45335920	-
