	FusionPair	Label	Version	5pCommonName	Chr5p	Coord5p	5pStrand	3pCommonName	Chr3p	Coord3p	3pStrand
0	TATDN1_GSDMB	1	grch38	TATDN1	8	124539025	-	GSDMB	17	39909924	-
1	TATDN1_GSDMB	1	grch38	TATDN1	8	124539025	-	GSDMB	17	39905985	-
2	TATDN1_GSDMB	1	grch38	TATDN1	8	124539025	-	GSDMB	17	39906271	-
3	CYTH1_EIF3H	1	grch38	CYTH1	17	78782202	-	EIF3H	8	116756019	-
4	CYTH1_EIF3H	1	grch38	CYTH1	17	78782202	-	EIF3H	8	116658980	-
5	CYTH1_EIF3H	1	grch38	CYTH1	17	78782202	-	EIF3H	8	116726172	-
6	CSE1L_AL035685.1	1	grch38	CSE1L	20	49072453	+	AL035685.1	20	49340320	+
7	ANKHD1_PCDH1	1	grch38	ANKHD1	5	140445975	+	PCDH1	5	141854436	-
8	ANKHD1-EIF4EBP3_PCDH1	1	grch38	ANKHD1-EIF4EBP3	5	140445975	+	PCDH1	5	141854436	-
9	FP236383.2_RPS23	1	grch38	FP236383.2	21	8393663	-	RPS23	5	82278352	-
10	SUMF1_LRRFIP2	1	grch38	SUMF1	3	4376330	-	LRRFIP2	3	37129149	-
11	SUMF1_LRRFIP2	1	grch38	SUMF1	3	4410865	-	LRRFIP2	3	37129149	-
12	CCDC85C_SETD3	1	grch38	CCDC85C	14	99536015	-	SETD3	14	99413934	-
13	RARA_PKIA	1	grch38	RARA	17	40309286	+	PKIA	8	78598358	+
14	RPL19_AC091980.1	1	grch38	RPL19	17	39202438	+	AC091980.1	5	171345396	-
15	SUMF1_LRRFIP2	1	grch38	SUMF1	3	4452876	-	LRRFIP2	3	37129149	-
16	DHX35_ITCH	1	grch38	DHX35	20	38969214	+	ITCH	20	34369394	+
17	ACOT8_WASH3P	1	grch38	ACOT8	20	45855159	-	WASH3P	15	101966070	+
18	KLHDC2_SNTB1	1	grch38	KLHDC2	14	49782594	+	SNTB1	8	120548958	-
19	TBC1D31_ZNF704	1	grch38	TBC1D31	8	123084340	+	ZNF704	8	80821615	-
20	AC090527.2_AKAP13	1	grch38	AC090527.2	15	45587525	+	AKAP13	15	85639374	+
21	BLOC1S6_AKAP13	1	grch38	BLOC1S6	15	45587525	+	AKAP13	15	85639374	+
