	FusionPair	Label	Version	5pCommonName	Chr5p	Coord5p	5pStrand	3pCommonName	Chr3p	Coord3p	3pStrand
0	ZFP91_AL162596.1	1	grch38	ZFP91	11	58584884	+	AL162596.1	1	152860677	+
1	ZFP91-CNTF_AL162596.1	1	grch38	ZFP91-CNTF	11	58584884	+	AL162596.1	1	152860677	+
2	PTEN_PACS1	1	grch38	PTEN	10	87894109	+	PACS1	11	66193486	+
3	PEMT_SLC35B1	1	grch38	PEMT	17	17576920	-	SLC35B1	17	49705896	-
4	MALAT1_UQCRB	1	grch38	MALAT1	11	65499652	+	UQCRB	8	96231119	-
5	MTCO1P12_MTATP8P2	1	grch38	MTCO1P12	1	632386	+	MTATP8P2	2	87824949	+
6	MALAT1_AC009245.1	1	grch38	MALAT1	11	65500074	+	AC009245.1	7	137721983	+
7	MALAT1_RPL14P1	1	grch38	MALAT1	11	65499652	+	RPL14P1	12	62965608	+
8	TNRC6B_ASXL2	1	grch38	TNRC6B	22	40178140	+	ASXL2	2	25806337	-
9	MTATP8P1_MTATP6P2	1	grch38	MTATP8P1	1	683079	+	MTATP6P2	5	100052557	-
10	MTCO1P12_MTATP8P2	1	grch38	MTCO1P12	1	632378	+	MTATP8P2	2	87824941	+
11	PRPF4B_AL139095.4	1	grch38	PRPF4B	6	4052873	+	AL139095.4	6	7298585	+
12	EEF1D_SDC4	1	grch38	EEF1D	8	143597348	-	SDC4	20	45335920	-
