	FusionPair	Label	Version	5pCommonName	Chr5p	Coord5p	5pStrand	3pCommonName	Chr3p	Coord3p	3pStrand
0	TATDN1_GSDMB	1	grch38	TATDN1	8	124539025	-	GSDMB	17	39909924	-
1	TATDN1_GSDMB	1	grch38	TATDN1	8	124539025	-	GSDMB	17	39905985	-
2	CYTH1_EIF3H	1	grch38	CYTH1	17	78782202	-	EIF3H	8	116756019	-
3	RARA_PKIA	1	grch38	RARA	17	40309286	+	PKIA	8	78572811	+
4	CSE1L_AL035685.1	1	grch38	CSE1L	20	49072453	+	AL035685.1	20	49340320	+
5	ACOT8_FO538757.1	1	grch38	ACOT8	20	45855159	-	FO538757.1	1	195416	-
6	SUMF1_LRRFIP2	1	grch38	SUMF1	3	4376330	-	LRRFIP2	3	37129149	-
7	ANKHD1_PCDH1	1	grch38	ANKHD1	5	140445975	+	PCDH1	5	141854436	-
8	ANKHD1-EIF4EBP3_PCDH1	1	grch38	ANKHD1-EIF4EBP3	5	140445975	+	PCDH1	5	141854436	-
9	CYTH1_EIF3H	1	grch38	CYTH1	17	78782202	-	EIF3H	8	116755797	-
10	SUMF1_LRRFIP2	1	grch38	SUMF1	3	4410865	-	LRRFIP2	3	37129149	-
11	CCDC85C_SETD3	1	grch38	CCDC85C	14	99536015	-	SETD3	14	99413934	-
12	ATAD5_TLK2	1	grch38	ATAD5	17	30879487	+	TLK2	17	62573215	+
13	TBC1D31_ZNF704	1	grch38	TBC1D31	8	123084340	+	ZNF704	8	80821615	-
