	FusionPair	Label	Version	5pCommonName	Chr5p	Coord5p	5pStrand	3pCommonName	Chr3p	Coord3p	3pStrand
0	THRA_THRA1/BTR	1	grch38	THRA	17	40086853	+	THRA1/BTR	17	48294347	+
1	ACACA_STAC2	1	grch38	ACACA	17	37122531	-	STAC2	17	39218173	-
2	THRA_THRA1/BTR	1	grch38	THRA	17	40086853	+	THRA1/BTR	17	48307331	+
3	RPS6KB1_SNF8	1	grch38	RPS6KB1	17	59893325	+	SNF8	17	48943975	-
4	VAPB_IKZF3	1	grch38	VAPB	20	58389517	+	IKZF3	17	39777767	-
5	TOB1_SYNRG	1	grch38	TOB1	17	50866058	-	SYNRG	17	37520648	-
6	VAPB_IKZF3	1	grch38	VAPB	20	58389517	+	IKZF3	17	39766493	-
7	AHCTF1_NAAA	1	grch38	AHCTF1	1	246931578	-	NAAA	4	75925811	-
8	MED1_STXBP4	1	grch38	MED1	17	39451038	-	STXBP4	17	55141310	+
9	VAPB_IKZF3	1	grch38	VAPB	20	58389517	+	IKZF3	17	39788374	-
10	STX16_RAE1	1	grch38	STX16	20	58652087	+	RAE1	20	57354032	+
11	SKA2_MYO19	1	grch38	SKA2	17	59155131	-	MYO19	17	36507512	-
12	SKA2_MYO19	1	grch38	SKA2	17	59155131	-	MYO19	17	36507924	-
13	RAB22A_MYO9B	1	grch38	RAB22A	20	58311122	+	MYO9B	19	17145397	+
14	STARD3_DOK5	1	grch38	STARD3	17	39637231	+	DOK5	20	54643458	+
15	MED13_BCAS3	1	grch38	MED13	17	62052537	-	BCAS3	17	61391977	+
16	DIDO1_TTI1	1	grch38	DIDO1	20	62937796	-	TTI1	20	38013857	-
17	BRD4_RFX1	1	grch38	BRD4	19	15332290	-	RFX1	19	13983595	-
18	GLB1_CMTM7	1	grch38	GLB1	3	33014056	-	CMTM7	3	32441840	+
19	FITM2_UQCC1	1	grch38	FITM2	20	44310976	-	UQCC1	20	35314765	-
20	TRPC4AP_MRPL45	1	grch38	TRPC4AP	20	35078046	-	MRPL45	17	38320618	+
21	PIP4K2B_RAD51C	1	grch38	PIP4K2B	17	38777687	-	RAD51C	17	58734118	+
22	MEF2D_OR10J1	1	grch38	MEF2D	1	156479290	-	OR10J1	1	159439776	+
